	Autor	Werk	year	vis_id
118	Hölderlin, Friedrich	Hyperion oder der Eremit in Griechenland	1797	HölderlinFriedrich_HyperionoderderEremitinGriechenland
124	Immermann, Karl	Die Epigonen	1836	ImmermannKarl_DieEpigonen
125	Immermann, Karl	Münchhausen	1839	ImmermannKarl_Münchhausen
127	Jacobi, Friedrich Heinrich	Aus Eduard Allwills Papieren	1781	JacobiFriedrichHeinrich_AusEduardAllwillsPapieren
126	Jacobi, Friedrich Heinrich	Woldemar	1779	JacobiFriedrichHeinrich_Woldemar
128	Jacobsen, Jens Peter	Niels Lyhne	1880	JacobsenJensPeter_NielsLyhne
130	Janitschek, Maria	Die Amazonenschlacht	1897	JanitschekMaria_DieAmazonenschlacht
129	Janitschek, Maria	Ninive	1896	JanitschekMaria_Ninive
133	Jean Paul	Blumen-, Frucht- und Dornenstücke.xml.txt	1796	JeanPaul_Blumen-Frucht-undDornenstücke.xml.txt
138	Jean Paul	Des Feldpredigers Schmelzle Reise nach Flätz.xml.txt	1809	JeanPaul_DesFeldpredigersSchmelzleReisenachFlätz.xml.txt
136	Jean Paul	Des Luftschiffers Giannozzo Seebuch.xml.txt	1801	JeanPaul_DesLuftschiffersGiannozzoSeebuch.xml.txt
131	Jean Paul	Die unsichtbare Loge.xml.txt	1793	JeanPaul_DieunsichtbareLoge.xml.txt
139	Jean Paul	Dr. Katzenbergers Badereise.xml.txt	1809	JeanPaul_Dr.KatzenbergersBadereise.xml.txt
137	Jean Paul	Flegeljahre.xml.txt	1804	JeanPaul_Flegeljahre.xml.txt
132	Jean Paul	Hesperus oder 45 Hundsposttage.xml.txt	1795	JeanPaul_Hesperusoder45Hundsposttage.xml.txt
134	Jean Paul	Leben des Quintus Fixlein.xml.txt	1796	JeanPaul_LebendesQuintusFixlein.xml.txt
135	Jean Paul	Titan	1800	JeanPaul_Titan
141	Kafka, Franz	Das Schloß	1926	KafkaFranz_DasSchloß
140	Kafka, Franz	Der Prozeß	1925	KafkaFranz_DerProzeß
142	Keller, Gottfried	Der grüne Heinrich1 [Erste Fassung]	1854	KellerGottfried_DergrüneHeinrich1[ErsteFassung]
143	Keller, Gottfried	Der grüne Heinrich2 [Zweite Fassung]	1879	KellerGottfried_DergrüneHeinrich2[ZweiteFassung]
144	Keller, Gottfried	Martin Salander	1886	KellerGottfried_MartinSalander
147	Keyserling, Eduard von	Abendliche Häuser	1914	KeyserlingEduardvon_AbendlicheHäuser
145	Keyserling, Eduard von	Dumala	1907	KeyserlingEduardvon_Dumala
146	Keyserling, Eduard von	Wellen	1911	KeyserlingEduardvon_Wellen
148	Klingemann, August	Die Nachtwachen des Bonaventura	1804	KlingemannAugust_DieNachtwachendesBonaventura
149	Klinger, Friedrich Maximilian	Fausts Leben, Taten und Höllenfahrt	1791	KlingerFriedrichMaximilian_FaustsLebenTatenundHöllenfahrt
150	Klinger, Friedrich Maximilian	Geschichte eines Teutschen der neusten Zeit	1798	KlingerFriedrichMaximilian_GeschichteeinesTeutschenderneustenZeit
